docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0167577X13006393-801	1	Quantity	247	252	T1	10 nm	"{""unit"": ""nm""}"
S0167577X13006393-801	1	MeasuredEntity	320	326	T2	fibres	"{""HasQuantity"": ""T1""}"
S0167577X13006393-801	1	MeasuredProperty	222	236	T3	analysis depth	"{""HasQuantity"": ""T1""}"
S0167577X13006393-801	2	Quantity	1093	1100	T4	1200 °C	"{""unit"": ""\u00b0C""}"
S0167577X13006393-801	2	MeasuredEntity	1064	1086	T5	sintering temperatures	"{""HasQuantity"": ""T4""}"
S0167577X13006393-801	3	Quantity	1129	1139	T6	0.4 to 0.5	"{""unit"": """", ""mods"": [""IsRange""]}"
S0167577X13006393-801	3	MeasuredEntity	1108	1125	T7	conversion degree	"{""HasQuantity"": ""T6""}"
S0167577X13006393-801	4	Quantity	1129	1139	T8	0.4 to 0.5	"{""unit"": """", ""mods"": [""IsRange""]}"
S0167577X13006393-801	4	MeasuredEntity	1108	1125	T9	conversion degree	"{""HasQuantity"": ""T8""}"
S0167577X13006393-801	5	Quantity	247	249	T10	10	"{""unit"": """"}"
S0167577X13006393-801	6	Quantity	1228	1229	T12	6	"{""unit"": """"}"
S0167577X13006393-801	6	MeasuredEntity	1223	1229	T13	(PO4)6	"{""HasQuantity"": ""T12""}"
S0167577X13006393-801	7	Quantity	1228	1229	T14	6	"{""unit"": """"}"
S0167577X13006393-801	7	MeasuredEntity	1223	1229	T15	(PO4)6	"{""HasQuantity"": ""T14""}"
S0167577X13006393-801	8	Quantity	496	497	T16	2	"{""unit"": """"}"
S0167577X13006393-801	9	Quantity	247	249	T18	10	"{""unit"": """"}"
S0167577X13006393-801	10	Quantity	1228	1229	T20	6	"{""unit"": """"}"
S0167577X13006393-801	10	MeasuredEntity	1223	1229	T21	(PO4)6	"{""HasQuantity"": ""T20""}"
S0167577X13006393-801	11	Quantity	247	248	T22	1	"{""unit"": """"}"
S0167577X13006393-801	12	Quantity	496	497	T24	2	"{""unit"": """"}"
