docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S037842901300244X-1654	1	Quantity	248	251	T1	50%	"{""mods"": [""IsMean""]}"
S037842901300244X-1654	1	MeasuredEntity	259	265	T2	plants	"{""HasQuantity"": ""T1""}"
S037842901300244X-1654	1	MeasuredProperty	266	285	T3	had exerted stigmas	"{""HasQuantity"": ""T1""}"
S037842901300244X-1654	4	Quantity	779	786	T8	121 das	"{""unit"": ""das""}"
S037842901300244X-1654	4	MeasuredEntity	723	736	T5	Striga plants	"{""HasQuantity"": ""T8""}"
S037842901300244X-1654	4	MeasuredProperty	715	722	T6	emerged	"{""HasQuantity"": ""T8""}"
S037842901300244X-1654	5	Quantity	399	404	T9	g m−2	"{""unit"": ""g m\u22122""}"
S037842901300244X-1654	5	MeasuredEntity	378	397	T10	panicle yield (HYD)	"{""HasQuantity"": ""T9""}"
S037842901300244X-1654	6	Quantity	683	686	T12	100	"{""unit"": ""%""}"
S037842901300244X-1654	7	Quantity	35	36	T15	n	"{""mods"": [""IsCount""]}"
S037842901300244X-1654	8	Quantity	933	935	T17	Yi	"{""mods"": [""IsCount""]}"
S037842901300244X-1654	8	MeasuredEntity	1011	1023	T18	Striga count	"{""HasQuantity"": ""T17""}"
S037842901300244X-1654	9	Quantity	192	194	T18	ti	"{""unit"": ""das""}"
S037842901300244X-1654	9	MeasuredEntity	206	223	T19	days after sowing	"{""HasQuantity"": ""T18""}"
S037842901300244X-1654	10	Quantity	249	250	T20	0	"{""unit"": ""das""}"
S037842901300244X-1654	10	MeasuredEntity	206	223	T21	days after sowing	"{""HasQuantity"": ""T20""}"
S037842901300244X-1654	11	Quantity	249	250	T23	0	"{""unit"": ""Striga count""}"
