docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S2213158213000582-1390	1	Quantity	23	28	T1	50 ms	"{""unit"": ""ms""}"
S2213158213000582-1390	1	MeasuredEntity	66	89	T2	STG and non-STG regions	"{""HasQuantity"": ""T1""}"
S2213158213000582-1390	1	MeasuredProperty	45	62	T3	group differences	"{""HasQuantity"": ""T1""}"
S2213158213000582-1390	1	Qualifier	91	103	T4	FDR q < 0.05	"{""Qualifies"": ""T3""}"
S2213158213000582-1390	2	Quantity	234	239	T5	50-ms	"{""unit"": ""ms""}"
S2213158213000582-1390	2	MeasuredProperty	240	248	T7	activity	"{""HasQuantity"": ""T5""}"
S2213158213000582-1390	2	MeasuredEntity	157	186	T8	right inferior temporal gyrus	"{""HasQuantity"": ""T5""}"
S2213158213000582-1390	2	MeasuredProperty	240	248	T9	activity	"{""HasQuantity"": ""T5""}"
S2213158213000582-1390	2	MeasuredEntity	200	218	T10	left and right IFG	"{""HasQuantity"": ""T5""}"
S2213158213000582-1390	2	MeasuredProperty	240	248	T11	activity	"{""HasQuantity"": ""T5""}"
S2213158213000582-1390	3	Quantity	23	28	T15	50 ms	"{""unit"": ""ms""}"
