docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0012821X12004384-990	1	Quantity	107	110	T1	39%	"{""unit"": ""%""}"
S0012821X12004384-990	1	MeasuredEntity	100	106	T2	axis 1	"{""HasProperty"": ""T3""}"
S0012821X12004384-990	1	MeasuredProperty	114	128	T3	total variance	"{""HasQuantity"": ""T1""}"
S0012821X12004384-990	2	Quantity	137	140	T4	17%	"{""unit"": ""%""}"
S0012821X12004384-990	2	MeasuredEntity	130	136	T5	axis 2	"{""HasProperty"": ""T6""}"
S0012821X12004384-990	2	MeasuredProperty	114	128	T6	total variance	"{""HasQuantity"": ""T4""}"
S0012821X12004384-990	3	Quantity	220	223	T7	31%	"{""unit"": ""%""}"
S0012821X12004384-990	3	MeasuredEntity	213	219	T8	axis 1	"{""HasProperty"": ""T9""}"
S0012821X12004384-990	3	MeasuredProperty	144	158	T9	total variance	"{""HasQuantity"": ""T7""}"
S0012821X12004384-990	4	Quantity	250	253	T10	11%	"{""unit"": ""%""}"
S0012821X12004384-990	4	MeasuredEntity	243	249	T11	axis 2	"{""HasProperty"": ""T12""}"
S0012821X12004384-990	4	MeasuredProperty	227	241	T12	total variance	"{""HasQuantity"": ""T10""}"
S0012821X12004384-990	5	Quantity	552	561	T13	2619.60 m	"{""unit"": ""m""}"
S0012821X12004384-990	5	MeasuredEntity	485	492	T14	samples	"{""HasQuantity"": ""T13""}"
S0012821X12004384-990	5	MeasuredProperty	459	464	T15	depth	"{""HasQuantity"": ""T13""}"
S0012821X12004384-990	5	Qualifier	467	470	T16	red	"{""Qualifies"": ""T13""}"
S0012821X12004384-990	5	Qualifier	498	539	T17	pre-CIE peaks in Apectodinium and δ13CTOC	"{""Qualifies"": ""T14""}"
S0012821X12004384-990	6	Quantity	566	575	T19	2614.71 m	"{""unit"": ""m""}"
S0012821X12004384-990	6	MeasuredEntity	485	492	T20	samples	"{""HasQuantity"": ""T19""}"
S0012821X12004384-990	6	Qualifier	467	470	T22	red	"{""Qualifies"": ""T19""}"
S0012821X12004384-990	6	Qualifier	498	539	T23	pre-CIE peaks in Apectodinium and δ13CTOC	"{""Qualifies"": ""T20""}"
