docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S016412121300188X-3207	1	Quantity	343	346	T1	89%	"{""unit"": ""%""}"
S016412121300188X-3207	1	MeasuredEntity	354	370	T2	programs studied	"{""HasQuantity"": ""T1""}"
S016412121300188X-3207	2	Quantity	381	393	T3	at least one	"{""mods"": [""IsCount"", ""IsRange""]}"
S016412121300188X-3207	2	MeasuredEntity	394	412	T4	dependence cluster	"{""HasQuantity"": ""T3""}"
S016412121300188X-3207	3	Quantity	425	436	T5	10% or more	"{""unit"": ""%"", ""mods"": [""IsRange""]}"
S016412121300188X-3207	3	MeasuredEntity	444	464	T6	program's statements	"{""HasQuantity"": ""T5""}"
S016412121300188X-3207	4	Quantity	511	517	T7	20KLoC	"{""unit"": ""KLoC"", ""mods"": [""IsMean""]}"
S016412121300188X-3207	4	MeasuredEntity	490	506	T8	programs studied	"{""HasQuantity"": ""T7""}"
S016412121300188X-3207	4	MeasuredProperty	478	482	T9	size	"{""HasQuantity"": ""T7""}"
S016412121300188X-3207	5	Quantity	540	553	T10	more than 10%	"{""unit"": ""%"", ""mods"": [""IsRange""]}"
S016412121300188X-3207	5	MeasuredEntity	528	536	T11	clusters	"{""HasQuantity"": ""T10""}"
S016412121300188X-3207	6	Quantity	640	643	T12	40%	"{""unit"": ""%""}"
S016412121300188X-3207	6	MeasuredEntity	651	659	T13	programs	"{""HasQuantity"": ""T12""}"
S016412121300188X-3207	7	Quantity	699	708	T14	over half	"{""unit"": ""%"", ""mods"": [""IsRange""]}"
S016412121300188X-3207	7	MeasuredEntity	651	658	T15	program	"{""HasQuantity"": ""T14""}"
