docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0960148113005727-1451	1	Quantity	360	363	T1	12%	"{""unit"": ""%""}"
S0960148113005727-1451	1	MeasuredEntity	270	283	T2	Blyth Harbour	"{""HasProperty"": ""T3""}"
S0960148113005727-1451	1	MeasuredProperty	334	345	T3	load factor	"{""HasQuantity"": ""T1""}"
S0960148113005727-1451	2	Quantity	361	363	T4	2%	"{""unit"": ""%""}"
S0960148113005727-1451	2	MeasuredEntity	270	283	T5	Blyth Harbour	"{""HasProperty"": ""T6""}"
S0960148113005727-1451	2	MeasuredProperty	334	345	T6	load factor	"{""HasQuantity"": ""T4""}"
S0960148113005727-1451	3	Quantity	360	362	T7	12	"{""mods"": [""IsCount""]}"
S0960148113005727-1451	3	MeasuredEntity	270	283	T8	Blyth Harbour	"{""HasProperty"": ""T9""}"
S0960148113005727-1451	3	MeasuredProperty	387	390	T9	age	"{""HasQuantity"": ""T7""}"
S0960148113005727-1451	4	Quantity	402	404	T10	17	"{""mods"": [""IsCount""]}"
S0960148113005727-1451	4	MeasuredProperty	387	390	T12	age	"{""HasQuantity"": ""T10""}"
S0960148113005727-1451	5	Quantity	445	449	T13	nine	"{""mods"": [""IsCount""]}"
S0960148113005727-1451	5	MeasuredEntity	450	458	T14	turbines	"{""HasQuantity"": ""T13""}"
S0960148113005727-1451	6	Quantity	434	437	T15	one	"{""mods"": [""IsCount""]}"
S0960148113005727-1451	6	MeasuredEntity	450	458	T16	turbines	"{""HasQuantity"": ""T15""}"
