docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0012821X12004384-1249	1	Quantity	19	31	T1	57°44’8.47”N	"{""unit"": ""\u00b0""}"
S0012821X12004384-1249	1	MeasuredEntity	0	17	T2	Borehole 22/10a-4	"{""HasQuantity"": ""T1""}"
S0012821X12004384-1249	2	Quantity	33	45	T3	1°50’26.59”E	"{""unit"": ""\u00b0""}"
S0012821X12004384-1249	2	MeasuredEntity	0	17	T4	Borehole 22/10a-4	"{""HasQuantity"": ""T3""}"
S0012821X12004384-1249	3	Quantity	507	523	T5	2605 m to 2634 m	"{""unit"": ""m"", ""mods"": [""IsRange""]}"
S0012821X12004384-1249	3	MeasuredEntity	456	475	T6	section of 22/10a-4	"{""HasQuantity"": ""T5""}"
S0012821X12004384-1249	3	MeasuredProperty	525	535	T7	core depth	"{""HasQuantity"": ""T5""}"
S0012821X12004384-1249	4	Quantity	298	306	T8	mm-thick	"{""unit"": ""mm""}"
S0012821X12004384-1249	4	MeasuredEntity	307	317	T9	ash layers	"{""HasQuantity"": ""T8""}"
S0012821X12004384-1249	4	Qualifier	287	297	T20	occasional	"{""Qualifies"": ""T9""}"
S0012821X12004384-1249	5	Quantity	698	709	T11	2609–2613 m	"{""unit"": ""m"", ""mods"": [""IsRange""]}"
S0012821X12004384-1249	5	MeasuredEntity	714	723	T12	claystone	"{""HasQuantity"": ""T11""}"
S0012821X12004384-1249	5	Qualifier	732	748	T19	finely laminated	"{""Qualifies"": ""T12""}"
S0012821X12004384-1249	6	Quantity	810	824	T13	1 to 25 per mm	"{""unit"": ""per mm"", ""mods"": [""IsRange""]}"
S0012821X12004384-1249	6	MeasuredEntity	780	796	T14	laminae couplets	"{""HasQuantity"": ""T13""}"
S0012821X12004384-1249	7	Quantity	1010	1039	T16	approximately 13 pairs per mm	"{""unit"": ""pairs per mm"", ""mods"": [""IsApproximate""]}"
S0012821X12004384-1249	7	MeasuredEntity	1027	1032	T17	pairs	"{""HasQuantity"": ""T16""}"
