docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S030881461301604X-1002	1	Quantity	110	118	T1	100 mg/L	"{""unit"": ""mg/L""}"
S030881461301604X-1002	1	MeasuredEntity	61	63	T2	AB	"{""HasProperty"": ""T3""}"
S030881461301604X-1002	1	MeasuredProperty	90	104	T3	concentrations	"{""HasQuantity"": ""T1""}"
S030881461301604X-1002	2	Quantity	123	129	T4	1 mg/L	"{""unit"": ""mg/L""}"
S030881461301604X-1002	2	MeasuredEntity	61	63	T5	AB	"{""HasProperty"": ""T6""}"
S030881461301604X-1002	2	MeasuredProperty	90	104	T6	concentrations	"{""HasQuantity"": ""T4""}"
S030881461301604X-1002	3	Quantity	110	118	T7	100 mg/L	"{""unit"": ""mg/L""}"
S030881461301604X-1002	3	MeasuredEntity	65	72	T8	As(III)	"{""HasProperty"": ""T9""}"
S030881461301604X-1002	3	MeasuredProperty	90	104	T9	concentrations	"{""HasQuantity"": ""T7""}"
S030881461301604X-1002	4	Quantity	123	129	T10	1 mg/L	"{""unit"": ""mg/L""}"
S030881461301604X-1002	4	MeasuredEntity	65	72	T11	As(III)	"{""HasProperty"": ""T12""}"
S030881461301604X-1002	4	MeasuredProperty	90	104	T12	concentrations	"{""HasQuantity"": ""T10""}"
S030881461301604X-1002	5	Quantity	110	118	T13	100 mg/L	"{""unit"": ""mg/L""}"
S030881461301604X-1002	5	MeasuredEntity	74	77	T14	DMA	"{""HasProperty"": ""T15""}"
S030881461301604X-1002	5	MeasuredProperty	90	104	T15	concentrations	"{""HasQuantity"": ""T13""}"
S030881461301604X-1002	6	Quantity	123	129	T16	1 mg/L	"{""unit"": ""mg/L""}"
S030881461301604X-1002	6	MeasuredEntity	74	77	T17	DMA	"{""HasProperty"": ""T18""}"
S030881461301604X-1002	6	MeasuredProperty	90	104	T18	concentrations	"{""HasQuantity"": ""T16""}"
S030881461301604X-1002	7	Quantity	110	118	T19	100 mg/L	"{""unit"": ""mg/L""}"
S030881461301604X-1002	7	MeasuredEntity	82	85	T20	MMA	"{""HasProperty"": ""T21""}"
S030881461301604X-1002	7	MeasuredProperty	90	104	T21	concentrations	"{""HasQuantity"": ""T19""}"
S030881461301604X-1002	8	Quantity	123	129	T22	1 mg/L	"{""unit"": ""mg/L""}"
S030881461301604X-1002	8	MeasuredEntity	82	85	T23	MMA	"{""HasProperty"": ""T24""}"
S030881461301604X-1002	8	MeasuredProperty	90	104	T24	concentrations	"{""HasQuantity"": ""T22""}"
S030881461301604X-1002	9	Quantity	168	175	T25	10 mg/L	"{""unit"": ""mg/L""}"
S030881461301604X-1002	9	MeasuredEntity	138	143	T26	As(V)	"{""HasProperty"": ""T27""}"
S030881461301604X-1002	9	MeasuredProperty	90	104	T27	concentrations	"{""HasQuantity"": ""T25""}"
