docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0378112713005288-1720	1	Quantity	334	336	T1	15	"{""mods"": [""IsCount""], ""unit"": ""sites""}"
S0378112713005288-1720	1	MeasuredEntity	337	349	T2	upland sites	"{""HasQuantity"": ""T1""}"
S0378112713005288-1720	2	Quantity	374	379	T3	120 m	"{""unit"": ""m""}"
S0378112713005288-1720	2	MeasuredEntity	351	360	T4	altitudes	"{""HasQuantity"": ""T3""}"
S0378112713005288-1720	2	MeasuredProperty	351	359	T5	altitude	"{""HasQuantity"": ""T3""}"
S0378112713005288-1720	2	Qualifier	389	404	T6	above sea level	"{""Qualifies"": ""T4""}"
S0378112713005288-1720	3	Quantity	383	388	T7	380 m	"{""unit"": ""m""}"
S0378112713005288-1720	3	MeasuredEntity	351	360	T8	altitudes	"{""HasQuantity"": ""T7""}"
S0378112713005288-1720	3	MeasuredProperty	351	359	T9	altitude	"{""HasQuantity"": ""T7""}"
S0378112713005288-1720	3	Qualifier	389	404	T10	above sea level	"{""Qualifies"": ""T8""}"
S0378112713005288-1720	4	Quantity	669	695	T11	greater than 1000 stems/ha	"{""unit"": ""stems/ha"", ""mods"": [""IsMean""]}"
S0378112713005288-1720	4	MeasuredEntity	616	653	T12	native tree species on clearcut sites	"{""HasQuantity"": ""T11""}"
S0378112713005288-1720	4	MeasuredProperty	590	612	T13	regeneration densities	"{""HasQuantity"": ""T11""}"
S0378112713005288-1720	5	Quantity	682	684	T15	10	"{""mods"": [""IsCount""], ""unit"": ""species""}"
