docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0012821X13007309-1649	1	Quantity	460	464	T1	0.5‰	"{""unit"": ""\u2030"", ""mods"": [""IsMean""]}"
S0012821X13007309-1649	1	Quantity	510	512	T2	4‰	"{""unit"": ""\u2030"", ""mods"": [""IsMean""]}"
S0012821X13007309-1649	1	Quantity	533	548	T3	−27.7 to −23.7‰	"{""unit"": ""\u2030"", ""mods"": [""IsRange""]}"
S0012821X13007309-1649	1	Quantity	650	654	T4	∼2 m	"{""unit"": ""m"", ""mods"": [""IsApproximate""]}"
S0012821X13007309-1649	1	Quantity	754	771	T5	∼−23.5‰ to −27.5‰	"{""unit"": ""\u2030"", ""mods"": [""IsRange"", ""IsApproximate""]}"
S0012821X13007309-1649	1	Quantity	817	829	T6	1035.75 mbsf	"{""unit"": ""mbsf"", ""mods"": []}"
S0012821X13007309-1649	1	Quantity	831	838	T7	∼3.52 m	"{""unit"": ""m"", ""mods"": [""IsApproximate""]}"
S0012821X13007309-1649	1	MeasuredEntity	803	810	T10	δ13Corg	"{""HasQuantity"": ""T6""}"
S0012821X13007309-1649	1	MeasuredProperty	785	795	T13	enrichment	"{""HasQuantity"": ""T6""}"
S0012821X13007309-1649	1	Qualifier	831	849	T17	∼3.52 m into OAE 2	"{""Qualifies"": ""T7""}"
