docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S037842901300244X-1427	1	Quantity	244	255	T1	five cycles	"{""mods"": [""IsCount""]}"
S037842901300244X-1427	1	MeasuredEntity	259	278	T2	recurrent selection	"{""HasQuantity"": ""T1""}"
S037842901300244X-1427	2	Quantity	420	449	T3	Two-hundred full-sib families	"{""mods"": [""IsCount""]}"
S037842901300244X-1427	2	MeasuredEntity	451	453	T4	FS	"{""HasQuantity"": ""T3""}"
S037842901300244X-1427	3	Quantity	820	826	T5	51%/1%	"{""unit"": ""%"", ""mods"": [""IsRange""]}"
S037842901300244X-1427	3	MeasuredEntity	833	851	T6	Striga infestation	"{""HasQuantity"": ""T5""}"
S037842901300244X-1427	3	MeasuredProperty	865	904	T7	area under Striga number progress curve	"{""HasQuantity"": ""T5""}"
S037842901300244X-1427	4	Quantity	914	921	T8	46%/62%	"{""unit"": ""%"", ""mods"": [""IsRange""]}"
S037842901300244X-1427	4	MeasuredEntity	928	950	T9	downy mildew incidence	"{""HasQuantity"": ""T8""}"
S037842901300244X-1427	5	Quantity	956	963	T10	49%/31%	"{""unit"": ""%"", ""mods"": [""IsRange""]}"
S037842901300244X-1427	5	MeasuredEntity	971	984	T11	panicle yield	"{""HasQuantity"": ""T10""}"
S037842901300244X-1427	6	Quantity	1312	1315	T12	76%	"{""unit"": ""%""}"
S037842901300244X-1427	6	MeasuredEntity	1284	1308	T13	operative heritabilities	"{""HasQuantity"": ""T12""}"
S037842901300244X-1427	7	Quantity	1327	1330	T14	84%	"{""unit"": ""%""}"
S037842901300244X-1427	7	MeasuredEntity	1284	1308	T15	operative heritabilities	"{""HasQuantity"": ""T14""}"
S037842901300244X-1427	8	Quantity	1344	1347	T16	34%	"{""unit"": ""%""}"
S037842901300244X-1427	8	MeasuredEntity	1284	1308	T17	operative heritabilities	"{""HasQuantity"": ""T16""}"
