docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S2213158213000582-1309	1	Quantity	372	378	T1	500 ms	"{""unit"": ""ms"", ""mods"": [""IsRange""]}"
S2213158213000582-1309	1	MeasuredEntity	362	371	T2	S1 epochs	"{""HasQuantity"": ""T1""}"
S2213158213000582-1309	1	MeasuredProperty	379	391	T3	pre-stimulus	"{""HasQuantity"": ""T1""}"
S2213158213000582-1309	2	Quantity	372	378	T4	500 ms	"{""unit"": ""ms"", ""mods"": [""IsRange""]}"
S2213158213000582-1309	2	MeasuredEntity	362	371	T5	S1 epochs	"{""HasQuantity"": ""T4""}"
S2213158213000582-1309	2	MeasuredProperty	402	415	T6	post-stimulus	"{""HasQuantity"": ""T4""}"
S2213158213000582-1309	3	Quantity	511	521	T7	103 trials	"{""unit"": ""trials"", ""mods"": [""IsCount"", ""IsMean""]}"
S2213158213000582-1309	3	MeasuredEntity	540	552	T8	each subject	"{""HasQuantity"": ""T7""}"
S2213158213000582-1309	4	Quantity	622	624	T9	39	"{""unit"": null, ""mods"": [""IsCount""]}"
S2213158213000582-1309	4	MeasuredEntity	572	589	T10	group differences	"{""HasQuantity"": ""T9""}"
S2213158213000582-1309	5	Quantity	628	632	T11	0.30	"{""unit"": null, ""mods"": []}"
S2213158213000582-1309	5	MeasuredEntity	620	625	T12	t(39)	"{""HasQuantity"": ""T11""}"
S2213158213000582-1309	6	Quantity	638	642	T13	0.77	"{""unit"": null, ""mods"": []}"
S2213158213000582-1309	6	MeasuredEntity	576	577	T14	p	"{""HasQuantity"": ""T13""}"
