docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0006322312001096-1197	1	Quantity	8	24	T1	three indicators	"{""unit"": ""indicators"", ""mods"": [""IsCount""]}"
S0006322312001096-1197	1	MeasuredEntity	14	24	T2	indicators	"{""HasQuantity"": ""T1""}"
S0006322312001096-1197	2	Quantity	146	153	T3	30-item	"{""unit"": ""items"", ""mods"": [""IsCount""]}"
S0006322312001096-1197	2	MeasuredEntity	154	188	T4	General Health Questionnaire (GHQ)	"{""HasQuantity"": ""T3""}"
S0006322312001096-1197	3	Quantity	479	488	T5	5 or more	"{""unit"": ""score"", ""mods"": [""IsRange""]}"
S0006322312001096-1197	3	Quantity	554	560	T6	0 to 4	"{""unit"": ""score"", ""mods"": [""IsRange""]}"
S0006322312001096-1197	3	MeasuredEntity	496	507	T7	individuals	"{""HasQuantity"": ""T5""}"
S0006322312001096-1197	3	MeasuredEntity	496	507	T8	individuals	"{""HasQuantity"": ""T6""}"
S0006322312001096-1197	4	Quantity	732	735	T9	84%	"{""unit"": ""%""}"
S0006322312001096-1197	4	Quantity	732	735	T10	84%	"{""unit"": ""%""}"
S0006322312001096-1197	4	MeasuredEntity	702	714	T11	GHQ caseness	"{""HasQuantity"": ""T9""}"
S0006322312001096-1197	4	MeasuredEntity	702	714	T12	GHQ caseness	"{""HasQuantity"": ""T10""}"
S0006322312001096-1197	5	Quantity	1018	1021	T13	73%	"{""unit"": ""%""}"
S0006322312001096-1197	5	Quantity	1040	1043	T14	78%	"{""unit"": ""%""}"
S0006322312001096-1197	6	Quantity	1282	1285	T17	80%	"{""unit"": ""%""}"
S0006322312001096-1197	6	Quantity	1290	1293	T18	81%	"{""unit"": ""%""}"
S0006322312001096-1197	7	Quantity	1099	1115	T21	274 participants	"{""unit"": ""participants"", ""mods"": [""IsCount""]}"
S0006322312001096-1197	7	MeasuredEntity	1103	1115	T22	participants	"{""HasQuantity"": ""T21""}"
S0006322312001096-1197	8	Quantity	1121	1129	T23	58 to 70	"{""unit"": ""years"", ""mods"": [""IsRange""]}"
S0006322312001096-1197	8	MeasuredEntity	1103	1115	T24	participants	"{""HasQuantity"": ""T23""}"
