docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0012821X12004384-1284	1	Quantity	146	157	T1	225 samples	"{""unit"": ""samples"", ""mods"": [""IsCount""]}"
S0012821X12004384-1284	1	MeasuredEntity	150	157	T2	samples	"{""HasQuantity"": ""T1""}"
S0012821X12004384-1284	2	Quantity	397	402	T3	±<0.1	"{""mods"": [""IsMeanHasSD""]}"
S0012821X12004384-1284	2	MeasuredProperty	384	393	T4	precision	"{""HasQuantity"": ""T3""}"
S0012821X12004384-1284	3	Quantity	447	468	T5	289 bulk rock samples	"{""unit"": ""samples"", ""mods"": [""IsCount""]}"
S0012821X12004384-1284	3	MeasuredEntity	451	468	T6	bulk rock samples	"{""HasQuantity"": ""T5""}"
S0012821X12004384-1284	4	Quantity	748	752	T7	24 h	"{""unit"": ""h""}"
S0012821X12004384-1284	4	MeasuredEntity	669	676	T8	samples	"{""HasQuantity"": ""T7""}"
S0012821X12004384-1284	5	Quantity	811	820	T9	93:7, v/v	"{""unit"": ""v/v""}"
S0012821X12004384-1284	5	MeasuredEntity	759	777	T10	azeotropic mixture	"{""HasQuantity"": ""T9""}"
S0012821X12004384-1284	6	Quantity	1128	1134	T11	5% HCl	"{""unit"": ""%""}"
S0012821X12004384-1284	6	MeasuredEntity	1117	1124	T12	samples	"{""HasQuantity"": ""T11""}"
S0012821X12004384-1284	7	Quantity	1252	1259	T13	>250 μm	"{""unit"": ""\u03bcm""}"
S0012821X12004384-1284	7	MeasuredEntity	1225	1244	T14	palynology residues	"{""HasQuantity"": ""T13""}"
S0012821X12004384-1284	8	Quantity	1328	1338	T15	35 samples	"{""unit"": ""samples"", ""mods"": [""IsCount""]}"
S0012821X12004384-1284	8	MeasuredEntity	1331	1338	T16	samples	"{""HasQuantity"": ""T15""}"
S0012821X12004384-1284	9	Quantity	1711	1715	T17	0.4‰	"{""unit"": ""\u2030"", ""mods"": [""IsMeanHasSD""]}"
S0012821X12004384-1284	9	MeasuredProperty	1658	1681	T18	mean standard deviation	"{""HasQuantity"": ""T17""}"
