docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S175058361300203X-1542	1	Quantity	126	134	T1	34–38 °C	"{""unit"": ""\u00b0C"", ""mods"": [""IsRange""]}"
S175058361300203X-1542	1	MeasuredEntity	46	56	T2	sandstones	"{""HasQuantity"": ""T1""}"
S175058361300203X-1542	1	MeasuredProperty	97	109	T3	temperatures	"{""HasQuantity"": ""T1""}"
S175058361300203X-1542	2	Quantity	469	474	T4	5 m/s	"{""unit"": ""m/s""}"
S175058361300203X-1542	2	MeasuredEntity	440	449	T5	scenarios	"{""HasQuantity"": ""T4""}"
S175058361300203X-1542	2	MeasuredProperty	417	427	T6	difference	"{""HasQuantity"": ""T4""}"
S175058361300203X-1542	3	Quantity	383	386	T7	50%	"{""unit"": ""%"", ""mods"": [""IsCount""]}"
S175058361300203X-1542	3	MeasuredEntity	387	401	T8	CO2 saturation	"{""HasQuantity"": ""T7""}"
S175058361300203X-1542	3	MeasuredProperty	391	401	T9	saturation	"{""HasQuantity"": ""T7""}"
S175058361300203X-1542	4	Quantity	512	515	T10	±5%	"{""unit"": ""%"", ""mods"": [""IsMeanHasSD""]}"
S175058361300203X-1542	4	MeasuredEntity	516	521	T11	error	"{""HasQuantity"": ""T10""}"
S175058361300203X-1542	4	MeasuredProperty	525	539	T12	CO2 saturation	"{""HasQuantity"": ""T10""}"
S175058361300203X-1542	5	Quantity	646	653	T13	±70 m/s	"{""unit"": ""m/s"", ""mods"": [""IsMeanHasSD""]}"
S175058361300203X-1542	5	MeasuredEntity	657	659	T14	Vp	"{""HasQuantity"": ""T13""}"
S175058361300203X-1542	6	Quantity	126	128	T16	34	"{""unit"": ""\u00b0C""}"
S175058361300203X-1542	6	MeasuredProperty	97	108	T18	temperature	"{""HasQuantity"": ""T16""}"
S175058361300203X-1542	7	Quantity	129	134	T19	38 °C	"{""unit"": ""\u00b0C""}"
S175058361300203X-1542	7	MeasuredProperty	97	108	T21	temperature	"{""HasQuantity"": ""T19""}"
