docId	annotSet	annotType	annotId	text	other
S0167577X13006393-399	1	Quantity	T1	1065–1280 cm−1	"{""unit"": ""cm−1"", ""mods"": [""IsRange""]}"
S0167577X13006393-399	1	MeasuredEntity	T2	C3O characteristic bands	"{""HasProperty"": ""T3""}"
S0167577X13006393-399	1	MeasuredProperty	T3	region	"{""HasQuantity"": ""T1""}"
S0167577X13006393-399	2	Quantity	T4	about 964 cm−1	"{""unit"": ""cm−1"", ""mods"": [""IsApproximate""]}"
S0167577X13006393-399	2	MeasuredEntity	T5	PO43−	"{""HasProperty"": ""T6""}"
S0167577X13006393-399	2	MeasuredProperty	T6	ν1 vibration mode	"{""HasQuantity"": ""T4""}"
S0167577X13006393-399	3	Quantity	T7	1031 cm−1	"{""unit"": ""cm−1""}"
S0167577X13006393-399	3	MeasuredEntity	T8	PO43−	"{""HasProperty"": ""T9""}"
S0167577X13006393-399	3	MeasuredProperty	T9	ν3 vibration mode	"{""HasQuantity"": ""T7""}"
S0167577X13006393-399	4	Quantity	T10	1091 cm−1	"{""unit"": ""cm−1""}"
S0167577X13006393-399	4	MeasuredEntity	T11	PO43−	"{""HasProperty"": ""T12""}"
S0167577X13006393-399	4	MeasuredProperty	T12	ν3 vibration mode	"{""HasQuantity"": ""T10""}"
S0167577X13006393-399	4	Qualifier	T13	asymmetric	"{""Qualifies"": ""T10""}"
S0167577X13006393-399	5	Quantity	T14	50%	"{""unit"": ""%""}"
S0167577X13006393-399	5	MeasuredEntity	T15	PLGA–HA composite fibres	"{""HasQuantity"": ""T14""}"
S0167577X13006393-399	5	Qualifier	T16	untreated	"{""Qualifies"": ""T15""}"
