docId	annotSet	annotType	annotId	text	other
S0167880913001229-1323	1	Quantity	T1	0–10 cm	"{""unit"": ""cm"", ""mods"": [""IsRange""]}"
S0167880913001229-1323	1	MeasuredEntity	T2	SOC stock	"{""HasQuantity"": ""T1""}"
S0167880913001229-1323	1	MeasuredProperty	T3	depth	"{""HasQuantity"": ""T1"", ""HasProperty"": ""T2""}"
S0167880913001229-1323	2	Quantity	T4	20–40 cm	"{""unit"": ""cm"", ""mods"": [""IsRange""]}"
S0167880913001229-1323	2	MeasuredEntity	T5	SOC stock	"{""HasQuantity"": ""T4""}"
S0167880913001229-1323	2	MeasuredProperty	T6	depth	"{""HasQuantity"": ""T4"", ""HasProperty"": ""T5""}"
S0167880913001229-1323	3	Quantity	T7	0–10 cm	"{""unit"": ""cm"", ""mods"": [""IsRange""]}"
S0167880913001229-1323	3	MeasuredEntity	T8	SOC	"{""HasQuantity"": ""T7""}"
S0167880913001229-1323	3	MeasuredProperty	T9	depth	"{""HasQuantity"": ""T7"", ""HasProperty"": ""T8""}"
S0167880913001229-1323	4	Quantity	T10	0.07	"{""mods"": [""IsCount""]}"
S0167880913001229-1323	4	MeasuredEntity	T11	correlation	"{""HasQuantity"": ""T10""}"
S0167880913001229-1323	5	Quantity	T12	0.05	"{""mods"": [""IsCount""]}"
S0167880913001229-1323	5	MeasuredEntity	T13	p-value	"{""HasQuantity"": ""T12""}"
