docId	annotSet	annotType	annotId	text	other
S037842901300244X-1654	1	Quantity	T1	50%	"{""unit"": ""%"", ""mods"": [""IsCount""]}"
S037842901300244X-1654	1	MeasuredEntity	T2	plants	"{""HasQuantity"": ""T1""}"
S037842901300244X-1654	1	MeasuredProperty	T3	percentage with exerted stigmas	"{""HasQuantity"": ""T1"", ""HasProperty"": ""T2""}"
S037842901300244X-1654	2	Quantity	T4	67 das	"{""unit"": ""das""}"
S037842901300244X-1654	2	MeasuredEntity	T5	Striga assessment dates	"{""HasQuantity"": ""T4""}"
S037842901300244X-1654	2	MeasuredProperty	T6	days after sowing	"{""HasQuantity"": ""T4"", ""HasProperty"": ""T5""}"
S037842901300244X-1654	3	Quantity	T7	101 das	"{""unit"": ""das""}"
S037842901300244X-1654	3	MeasuredEntity	T8	Striga assessment dates	"{""HasQuantity"": ""T7""}"
S037842901300244X-1654	3	MeasuredProperty	T9	days after sowing	"{""HasQuantity"": ""T7"", ""HasProperty"": ""T8""}"
S037842901300244X-1654	4	Quantity	T10	121 das	"{""unit"": ""das""}"
S037842901300244X-1654	4	MeasuredEntity	T11	Striga assessment dates	"{""HasQuantity"": ""T10""}"
S037842901300244X-1654	4	MeasuredProperty	T12	days after sowing	"{""HasQuantity"": ""T10"", ""HasProperty"": ""T11""}"
S037842901300244X-1654	5	Quantity	T13	0	"{""mods"": [""IsCount""]}"
S037842901300244X-1654	5	MeasuredEntity	T14	t0	"{""HasQuantity"": ""T13""}"
S037842901300244X-1654	5	MeasuredProperty	T15	initial time	"{""HasQuantity"": ""T13"", ""HasProperty"": ""T14""}"
S037842901300244X-1654	6	Quantity	T16	0	"{""mods"": [""IsCount""]}"
S037842901300244X-1654	6	MeasuredEntity	T17	Y0	"{""HasQuantity"": ""T16""}"
S037842901300244X-1654	6	MeasuredProperty	T18	initial Striga count	"{""HasQuantity"": ""T16"", ""HasProperty"": ""T17""}"
